ASX Listed Companies (1 May 2020),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
VHT,Volpara Health Technologies Ltd,Health Care,"319,225,000",0.017,,,
VHY,Vanguard Australian Shares High Yield ETF,,"1,165,470,000",0.061,,,
VIA,Viagold Capital Ltd,Materials,"2,666,000",0,,,
VIC,Victory Mines Ltd,Materials,"3,131,320",0,,,
VIF,Vanguard International Fixed Interest INDEX (Hedged) ETF,,"475,606,000",0.025,,,
VIG,Victor Group Holdings Ltd,Information Technology,"17,166,800",0.001,,,
VII,Vietnam Industrial Investments Ltd,Materials,"44,106,000",0.002,,,
VIP,VIP Gloves Ltd,Health Care,"24,763,600",0.001,,,
VISM,Vanguard MSCI International Small Companies INDEX ETF,,"31,467,900",0.002,,,
VIV,Vivid Technology Ltd,Industrials,"13,614,500",0.001,,,
VKA,Viking Mines Ltd,Materials,"2,196,020",0,,,
VLC,Vanguard MSCI Australian Large Companies INDEX ETF,,"86,956,300",0.005,,,
VLS,Vita Life Sciences Ltd,Health Care,"32,449,600",0.002,,,
VLT,Vault Intelligence Ltd,Information Technology,"25,599,400",0.001,,,
VMC,Venus Metals Corporation Ltd,Materials,"28,705,000",0.001,,,
VMG,VDM Group Ltd,Industrials,"6,927,660",0,,,
VMIN,Vanguard Global Minimum Volatility Active ETF (Managed Fund),,"11,532,500",0.001,,,
VML,Vital Metals Ltd,Materials,"19,283,500",0.001,,,
VMS,Venture Minerals Ltd,Materials,"11,311,300",0.001,,,
VMT,Vmoto Ltd,Consumer Discretionary,"33,003,900",0.002,,,
VMX,Valmec Ltd,Energy,"23,258,000",0.001,,,
VMY,Vimy Resources Ltd,Energy,"30,942,600",0.002,,,
VN8,VONEX Ltd,,"16,183,900",0.001,,,
VOC,Vocus Group Ltd,,"1,905,150,000",0.099,,,
VOL,Victory Offices Ltd,Real Estate,"20,859,000",0.001,,,
VOR,Vortiv Ltd,Information Technology,"16,735,100",0.001,,,
VP7,Velocity Property Group Ltd,Real Estate,"5,694,970",0,,,
VPC,VPCL Ltd,,"4,523,380",0,,,
VPR,Volt Power Group Ltd,Utilities,"8,994,530",0,,,
VR1,Vection Technologies Ltd,Information Technology,"12,486,300",0.001,,,
VR8,Vanadium Resources Ltd,Materials,"5,988,440",0,,,
VRC,Volt Resources Ltd,Materials,"8,694,180",0,,,
VRL,Village Roadshow Ltd,Communication Services,"441,163,000",0.023,,,
VRS,Veris Ltd,Industrials,"7,846,730",0,,,
VRT,Virtus Health Ltd,Health Care,"246,797,000",0.013,,,
VRX,VRX Silica Ltd,Materials,"43,174,800",0.002,,,
VSO,Vanguard MSCI Australian Small Companies INDEX ETF,,"317,305,000",0.016,,,
VTG,Vita Group Ltd,Consumer Discretionary,"180,132,000",0.009,,,
VTH,Vitalharvest Freehold Trust,Real Estate,"127,650,000",0.007,,,
VTI,"Visioneering Technologies, Inc",Health Care,"7,452,830",0,,,
VTS,Vanguard US Total Market Shares INDEX ETF,,"1,808,680,000",0.094,,,
VVLU,Vanguard Global Value Equity Active ETF (Managed Fund),,"20,975,200",0.001,,,
